LLM,Year,Question_ID,Task_ID,Score,Max Score,Normalized Score
opus,2018,A,A1,5.5,6,0.916667
opus,2018,A,A2,2.0,2,1.0
opus,2018,B,B1,0.0,2,0.0
opus,2018,B,B2,2.0,5,0.4
opus,2018,C,C1,13.0,14,0.928571
opus,2018,C,C2,0.0,1,0.0
opus,2018,C,C3,0.0,5,0.0
opus,2018,D,D1,2.0,2,1.0
opus,2018,D,D2,1.0,4,0.25
opus,2018,D,D3,0.0,3,0.0
opus,2018,E,E1,1.0,4,0.25
opus,2018,E,E2,0.0,5,0.0
opus,2018,E,E3,1.0,3,0.333333
opus,2018,F,F1,19.0,23,0.826087
opus,2018,F,F2,1.0,1,1.0
opus,2018,G,G1,11.0,11,1.0
opus,2018,G,G2,0.0,5,0.0
opus,2018,H,H1,1.0,12,0.083333
opus,2018,H,H2,0.0,8,0.0
opus,2018,H,H3,1.0,10,0.1
opus,2018,I,I1,0.0,17,0.0
opus,2018,I,I2,0.5,7,0.071429
opus,2018,I,I3,0.0,1,0.0
opus,2018,J,J1,1.0,9,0.111111
opus,2018,J,J2,1.5,10,0.15
opus,2018,K,K1,4.0,21,0.190476
opus,2018,L,L1,0.0,12,0.0
opus,2018,L,L2,13.0,15,0.866667
opus,2018,L,L3,0.0,1,0.0
opus,2018,L,L4,0.0,3,0.0
opus,2018,M,M1,1.0,23,0.043478
opus,2018,M,M2,1.0,5,0.2
opus,2018,M,M3,0.0,5,0.0
opus,2018,N,N1,3.0,13,0.230769
opus,2018,N,N2,0.5,1,0.5
opus,2018,O,O1,6.0,13,0.461538
opus,2018,O,O2,5.0,7,0.714286
opus,2018,P,P1,4.0,9,0.444444
opus,2018,P,P2,2.0,6,0.333333
opus,2018,P,P3,4.0,5,0.8
opus,2018,Q,Q1,2.0,2,1.0
opus,2018,Q,Q2,0.0,2,0.0
opus,2018,Q,Q3,2.0,2,1.0
opus,2018,Q,Q4,2.0,3,0.666667
opus,2018,Q,Q5,1.0,4,0.25
opus,2018,Q,Q6,3.0,3,1.0
opus,2018,Q,Q7,0.0,1,0.0
opus,2018,R,R1,0.0,2,0.0
opus,2018,R,R2,0.0,2,0.0
opus,2018,R,R3,0.0,3,0.0
