LLM,Year,Question_ID,Task_ID,Score,Max Score,Normalized Score
gemini-2.5-pro,2016,A,A1,4,5,0.8000000000
gemini-2.5-pro,2016,B,B1,0,6,0.0000000000
gemini-2.5-pro,2016,B,B2,0,3,0.0000000000
gemini-2.5-pro,2016,C,C1,0,4,0.0000000000
gemini-2.5-pro,2016,C,C2,12,12,1.0000000000
gemini-2.5-pro,2016,D,D1,0,8,0.0000000000
gemini-2.5-pro,2016,E,E1,6,10,0.6000000000
gemini-2.5-pro,2016,E,E2,0,1,0.0000000000
gemini-2.5-pro,2016,E,E3,1,10,0.1000000000
gemini-2.5-pro,2016,F,F1,7,7,1.0000000000
gemini-2.5-pro,2016,F,F2,7,7,1.0000000000
gemini-2.5-pro,2016,G,G1,2,23,0.0869565217
gemini-2.5-pro,2016,G,G2,0,4,0.0000000000
gemini-2.5-pro,2016,H,H1,9,12,0.7500000000
gemini-2.5-pro,2016,I,I1,18,18,1.0000000000
gemini-2.5-pro,2016,I,I2,2,2,1.0000000000
gemini-2.5-pro,2016,I,I3,2,2,1.0000000000
gemini-2.5-pro,2016,J,J1,2,7,0.2857142857
gemini-2.5-pro,2016,J,J2,9,18,0.5000000000
gemini-2.5-pro,2016,K,K2,3,11,0.2727272727
gemini-2.5-pro,2016,L,L1,5,5,1.0000000000
gemini-2.5-pro,2016,L,L2,0,1,0.0000000000
gemini-2.5-pro,2016,M,M1,5,7,0.7142857143
gemini-2.5-pro,2016,M,M2,0,1,0.0000000000
gemini-2.5-pro,2016,N,N1,13,13,1.0000000000
gemini-2.5-pro,2016,O,O1,3.5,8,0.4375000000
gemini-2.5-pro,2016,P,P1,0.5,1,0.5000000000
gemini-2.5-pro,2016,P,P2,0,1,0.0000000000
gemini-2.5-pro,2016,Q,Q1,1,5,0.2000000000
gemini-2.5-pro,2016,R,R1,15,15,1.0000000000
