LLM,Year,Question_ID,Task_ID,Score,Max Score,Normalized Score
gemini-2.5-pro,2020,A,A1,8,14,0.5714285714
gemini-2.5-pro,2020,A,A2,19,19,1.0000000000
gemini-2.5-pro,2020,B,B1,16,16,1.0000000000
gemini-2.5-pro,2020,B,B2,0.5,4,0.1250000000
gemini-2.5-pro,2020,B,B3,2.5,3,0.8333333333
gemini-2.5-pro,2020,C,C1,2,26,0.0769230769
gemini-2.5-pro,2020,D,D1,7,7,1.0000000000
gemini-2.5-pro,2020,D,D2,3,9,0.3333333333
gemini-2.5-pro,2020,E,E1,4,4,1.0000000000
gemini-2.5-pro,2020,E,E2,1,1,1.0000000000
gemini-2.5-pro,2020,E,E3,1,1,1.0000000000
gemini-2.5-pro,2020,F,F1,2,3,0.6666666667
gemini-2.5-pro,2020,F,F2,4.5,6,0.7500000000
gemini-2.5-pro,2020,G,G1,8,12,0.6666666667
gemini-2.5-pro,2020,G,G2,5,6,0.8333333333
gemini-2.5-pro,2020,H,H1,0,3,0.0000000000
gemini-2.5-pro,2020,H,H2,0,3,0.0000000000
gemini-2.5-pro,2020,I,I1,20,20,1.0000000000
gemini-2.5-pro,2020,I,I2,1,3,0.3333333333
gemini-2.5-pro,2020,I,I3,1,1,1.0000000000
gemini-2.5-pro,2020,J,J1,2,3,0.6666666667
gemini-2.5-pro,2020,J,J2,1.5,3,0.5000000000
gemini-2.5-pro,2020,K,K1,0,17,0.0000000000
gemini-2.5-pro,2020,K,K2,0,1,0.0000000000
gemini-2.5-pro,2020,L,L1,2,3,0.6666666667
gemini-2.5-pro,2020,L,L2,2,3,0.6666666667
gemini-2.5-pro,2020,L,L3,0,1,0.0000000000
gemini-2.5-pro,2020,L,L4,1,1,1.0000000000
gemini-2.5-pro,2020,L,L5,1.5,3,0.5000000000
gemini-2.5-pro,2020,L,L6,3,3,1.0000000000
gemini-2.5-pro,2020,M,M1,1,1,1.0000000000
gemini-2.5-pro,2020,M,M2,4,6,0.6666666667
gemini-2.5-pro,2020,M,M3,2,4,0.5000000000
gemini-2.5-pro,2020,N,N1,1,1,1.0000000000
gemini-2.5-pro,2020,N,N2,0.5,1,0.5000000000
gemini-2.5-pro,2020,N,N3,2,5,0.4000000000
gemini-2.5-pro,2020,O,O1,5,5,1.0000000000
gemini-2.5-pro,2020,O,O2,3.5,5,0.7000000000
gemini-2.5-pro,2020,P,P1,6,17,0.3529411765
gemini-2.5-pro,2020,Q,Q1,4,7,0.5714285714
gemini-2.5-pro,2020,Q,Q2,0.5,1,0.5000000000
gemini-2.5-pro,2020,Q,Q3,2,11,0.1818181818
gemini-2.5-pro,2020,R,R1,5,22,0.2272727273
