LLM,Year,Question_ID,Task_ID,Score,Max Score,Normalized Score
gpt4o,2019,A,A1,0,2,0.0000000000
gpt4o,2019,A,A2,0,16,0.0000000000
gpt4o,2019,B,B1,0,4,0.0000000000
gpt4o,2019,B,B2,0,4,0.0000000000
gpt4o,2019,C,C,0,12,0.0000000000
gpt4o,2019,D,D1,0,12,0.0000000000
gpt4o,2019,D,D2,0,4,0.0000000000
gpt4o,2019,E,E1,0,3,0.0000000000
gpt4o,2019,F,F1,0,8,0.0000000000
gpt4o,2019,F,F2,0,1,0.0000000000
gpt4o,2019,F,F3,0,15,0.0000000000
gpt4o,2019,G,G1,0,21,0.0000000000
gpt4o,2019,G,G2,0,3,0.0000000000
gpt4o,2019,H,H1,0,9,0.0000000000
gpt4o,2019,H,H2,0,5,0.0000000000
gpt4o,2019,H,H3,0,4,0.0000000000
gpt4o,2019,I,I1,0,10,0.0000000000
gpt4o,2019,I,I2,0,6,0.0000000000
gpt4o,2019,K,K1,0,18,0.0000000000
gpt4o,2019,K,K2,0,3,0.0000000000
gpt4o,2019,K,K3,0,3,0.0000000000
gpt4o,2019,L,L1,0,1,0.0000000000
gpt4o,2019,L,L2,0,1,0.0000000000
gpt4o,2019,L,L3,0,1,0.0000000000
gpt4o,2019,M,M1,0,1,0.0000000000
gpt4o,2019,M,M2,0,6,0.0000000000
gpt4o,2019,N,N1,0,24,0.0000000000
gpt4o,2019,N,N2,0,2,0.0000000000
gpt4o,2019,O,O1,0,18,0.0000000000
gpt4o,2019,P,P1,0,3,0.0000000000
gpt4o,2019,P,P2,0,4,0.0000000000
gpt4o,2019,R,R1,0,12,0.0000000000
gpt4o,2019,R,R2,0,3,0.0000000000
gpt4o,2019,R,R3,0,1,0.0000000000
gpt4o,2019,R,R4,0,5,0.0000000000
