LLM,Year,Question_ID,Task_ID,Score,Max Score,Normalized Score
gemini-2.5-flash,2023,A,A1,7,8,0.8750000000
gemini-2.5-flash,2023,A,A2,1,4,0.2500000000
gemini-2.5-flash,2023,A,A3,6,6,1.0000000000
gemini-2.5-flash,2023,A,A4,6,6,1.0000000000
gemini-2.5-flash,2023,B,B1,0,5,0.0000000000
gemini-2.5-flash,2023,C,C1,0,9,0.0000000000
gemini-2.5-flash,2023,C,C2,0,1,0.0000000000
gemini-2.5-flash,2023,D,D1,0,4,0.0000000000
gemini-2.5-flash,2023,D,D2,0,4,0.0000000000
gemini-2.5-flash,2023,E,E1,4,6,0.6666666667
gemini-2.5-flash,2023,E,E2,1,1,1.0000000000
gemini-2.5-flash,2023,E,E3,2,2,1.0000000000
gemini-2.5-flash,2023,E,E4,0,1,0.0000000000
gemini-2.5-flash,2023,F,F1,8,21,0.3809523810
gemini-2.5-flash,2023,F,F2,2,4,0.5000000000
gemini-2.5-flash,2023,G,G1,2,3,0.6666666667
gemini-2.5-flash,2023,G,G2,0,3,0.0000000000
gemini-2.5-flash,2023,G,G3,1,1,1.0000000000
gemini-2.5-flash,2023,H,H1,6,6,1.0000000000
gemini-2.5-flash,2023,H,H2,3,6,0.5000000000
gemini-2.5-flash,2023,H,H3,1,1,1.0000000000
gemini-2.5-flash,2023,H,H4,1,2,0.5000000000
gemini-2.5-flash,2023,H,H5,0,1,0.0000000000
gemini-2.5-flash,2023,I,I1,3,6,0.5000000000
gemini-2.5-flash,2023,J,J1,0.5,5,0.1000000000
gemini-2.5-flash,2023,K,K1,2,2,1.0000000000
gemini-2.5-flash,2023,K,K2,3,3,1.0000000000
gemini-2.5-flash,2023,K,K3,13,22,0.5909090909
gemini-2.5-flash,2023,M,M1,1.5,4,0.3750000000
gemini-2.5-flash,2023,M,M2,3,5,0.6000000000
gemini-2.5-flash,2023,N,N1,3,12,0.2500000000
gemini-2.5-flash,2023,N,N2,0,4,0.0000000000
gemini-2.5-flash,2023,O,O1,3,8,0.3750000000
gemini-2.5-flash,2023,O,O2,0,3,0.0000000000
gemini-2.5-flash,2023,O,O3,0,6,0.0000000000
gemini-2.5-flash,2023,P,P1,0,18,0.0000000000
gemini-2.5-flash,2023,Q,Q1,6.5,8,0.8125000000
