LLM,Year,Question_ID,Task_ID,Score,Max Score,Normalized Score
gemini-2.5-flash,2016,A,A1,3,5,0.6000000000
gemini-2.5-flash,2016,B,B1,2,6,0.3333333333
gemini-2.5-flash,2016,B,B2,0,3,0.0000000000
gemini-2.5-flash,2016,C,C1,0,4,0.0000000000
gemini-2.5-flash,2016,C,C2,12,12,1.0000000000
gemini-2.5-flash,2016,D,D1,0,8,0.0000000000
gemini-2.5-flash,2016,E,E1,3,10,0.3000000000
gemini-2.5-flash,2016,E,E2,0,1,0.0000000000
gemini-2.5-flash,2016,E,E3,0,10,0.0000000000
gemini-2.5-flash,2016,F,F1,7,7,1.0000000000
gemini-2.5-flash,2016,F,F2,7,7,1.0000000000
gemini-2.5-flash,2016,G,G1,2,23,0.0869565217
gemini-2.5-flash,2016,G,G2,0,4,0.0000000000
gemini-2.5-flash,2016,H,H1,8,12,0.6666666667
gemini-2.5-flash,2016,I,I1,12,18,0.6666666667
gemini-2.5-flash,2016,I,I2,2,2,1.0000000000
gemini-2.5-flash,2016,I,I3,2,2,1.0000000000
gemini-2.5-flash,2016,J,J1,7,7,1.0000000000
gemini-2.5-flash,2016,J,J2,9,18,0.5000000000
gemini-2.5-flash,2016,K,K2,2,11,0.1818181818
gemini-2.5-flash,2016,L,L1,5,5,1.0000000000
gemini-2.5-flash,2016,L,L2,0,1,0.0000000000
gemini-2.5-flash,2016,M,M1,1,7,0.1428571429
gemini-2.5-flash,2016,M,M2,0.5,1,0.5000000000
gemini-2.5-flash,2016,N,N1,13,13,1.0000000000
gemini-2.5-flash,2016,O,O1,1,8,0.1250000000
gemini-2.5-flash,2016,P,P1,0.5,1,0.5000000000
gemini-2.5-flash,2016,P,P2,0,1,0.0000000000
gemini-2.5-flash,2016,Q,Q1,0,5,0.0000000000
gemini-2.5-flash,2016,R,R1,15,15,1.0000000000
