LLM,Year,Question_ID,Task_ID,Score,Max Score,Normalized Score
gpt5,2022,A,A1,1,3,0.3333333333
gpt5,2022,A,A2,1,5,0.2000000000
gpt5,2022,A,A3,1,1,1.0000000000
gpt5,2022,B,B1,2,2,1.0000000000
gpt5,2022,B,B2,3,3,1.0000000000
gpt5,2022,C,C1,9,11,0.8181818182
gpt5,2022,C,C2,3,16,0.1875000000
gpt5,2022,C,C3,3,3,1.0000000000
gpt5,2022,C,C4,3,3,1.0000000000
gpt5,2022,C,C5,2,3,0.6666666667
gpt5,2022,C,C6,1,1,1.0000000000
gpt5,2022,D,D1,0.5,3,0.1666666667
gpt5,2022,D,D2,2.5,3,0.8333333333
gpt5,2022,D,D3,3,3,1.0000000000
gpt5,2022,D,D4,0,2,0.0000000000
gpt5,2022,E,E1,10,19,0.5263157895
gpt5,2022,E,E2,1.5,2,0.7500000000
gpt5,2022,E,E3,0,4,0.0000000000
gpt5,2022,E,E4,0,4,0.0000000000
gpt5,2022,E,E5,1,1,1.0000000000
gpt5,2022,E,E6,1,1,1.0000000000
gpt5,2022,E,E7,0,1,0.0000000000
gpt5,2022,F,F1,6,6,1.0000000000
gpt5,2022,F,F2,4,5,0.8000000000
gpt5,2022,F,F3,4,4,1.0000000000
gpt5,2022,F,F4,0,1,0.0000000000
gpt5,2022,G,G1,1,1,1.0000000000
gpt5,2022,G,G2,1,1,1.0000000000
gpt5,2022,G,G3,1,1,1.0000000000
gpt5,2022,G,G4,1,1,1.0000000000
gpt5,2022,G,G5,1,1,1.0000000000
gpt5,2022,H,H1,0,1,0.0000000000
gpt5,2022,H,H2,1,1,1.0000000000
gpt5,2022,H,H3,4.5,7,0.6428571429
gpt5,2022,H,H4,1,1,1.0000000000
gpt5,2022,H,H5,1,1,1.0000000000
gpt5,2022,H,H6,1,1,1.0000000000
gpt5,2022,I,I1,20,20,1.0000000000
gpt5,2022,I,I2,4,6,0.6666666667
gpt5,2022,I,I3,1,1,1.0000000000
gpt5,2022,J,J1,3,7,0.4285714286
gpt5,2022,J,J2,2,2,1.0000000000
gpt5,2022,K,K1,2,23,0.0869565217
gpt5,2022,K,K2,0,2,0.0000000000
gpt5,2022,K,K3,0,2,0.0000000000
gpt5,2022,L,L1,4,4,1.0000000000
gpt5,2022,L,L2,1,1,1.0000000000
gpt5,2022,L,L3,2,2,1.0000000000
gpt5,2022,L,L4,2,6,0.3333333333
gpt5,2022,L,L5,0,1,0.0000000000
gpt5,2022,M,M1,3,3,1.0000000000
gpt5,2022,M,M2,1,1,1.0000000000
gpt5,2022,M,M3,0,2,0.0000000000
gpt5,2022,N,N1,1,2,0.5000000000
gpt5,2022,N,N2,5,8,0.6250000000
gpt5,2022,N,N3,2,10,0.2000000000
gpt5,2022,O,O1,4,5,0.8000000000
gpt5,2022,P,P1,1,2,0.5000000000
gpt5,2022,P,P2,3,3,1.0000000000
gpt5,2022,P,P3,1,1,1.0000000000
gpt5,2022,P,P4,1,5,0.2000000000
gpt5,2022,P,P5,4,6,0.6666666667
gpt5,2022,P,P6,0,1,0.0000000000
gpt5,2022,P,P7,1.5,4,0.3750000000
gpt5,2022,Q,Q1,1.5,3,0.5000000000
gpt5,2022,Q,Q2,3.5,4,0.8750000000
gpt5,2022,R,R1,1,8,0.1250000000
gpt5,2022,R,R2,1,6,0.1666666667
gpt5,2022,R,R3,1,7,0.1428571429
