LLM,Year,Question_ID,Task_ID,Score,Max Score,Normalized Score
gpt5,2024,A,A1,6,6,1.0000000000
gpt5,2024,A,A2,1,1,1.0000000000
gpt5,2024,A,A3,1,1,1.0000000000
gpt5,2024,A,A4,2,6,0.3333333333
gpt5,2024,A,A5,1,1,1.0000000000
gpt5,2024,B,B1,2,2,1.0000000000
gpt5,2024,B,B2,1,1,1.0000000000
gpt5,2024,B,B3,5,6,0.8333333333
gpt5,2024,C,C1,5,5,1.0000000000
gpt5,2024,C,C2,6,6,1.0000000000
gpt5,2024,C,C3,1,1,1.0000000000
gpt5,2024,C,C4,1,1,1.0000000000
gpt5,2024,C,C5,2,2,1.0000000000
gpt5,2024,D,D1,12,14,0.8571428571
gpt5,2024,D,D2,3,3,1.0000000000
gpt5,2024,D,D3,0,1,0.0000000000
gpt5,2024,D,D4,8,8,1.0000000000
gpt5,2024,F,F1,1,6,0.1666666667
gpt5,2024,G,G1,1,1,1.0000000000
gpt5,2024,G,G2,5,5,1.0000000000
gpt5,2024,G,G3,7,9,0.7777777778
gpt5,2024,G,G4,3,3,1.0000000000
gpt5,2024,G,G5,1,1,1.0000000000
gpt5,2024,G,G6,1,1,1.0000000000
gpt5,2024,H,H1,2,2,1.0000000000
gpt5,2024,H,H2,0,1,0.0000000000
gpt5,2024,H,H3,4,4,1.0000000000
gpt5,2024,H,H4,2.5,5,0.5000000000
gpt5,2024,I,I1,15,15,1.0000000000
gpt5,2024,I,I2,0.5,1,0.5000000000
gpt5,2024,J,J1,8,8,1.0000000000
gpt5,2024,J,J2,8,8,1.0000000000
gpt5,2024,K,K1,14.5,15,0.9666666667
gpt5,2024,L,L1,2,3,0.6666666667
gpt5,2024,L,L2,2,4,0.5000000000
gpt5,2024,M,M1,2,20,0.1000000000
gpt5,2024,M,M2,0,4,0.0000000000
gpt5,2024,M,M3,0,5,0.0000000000
gpt5,2024,M,M4,0,1,0.0000000000
gpt5,2024,N,N1,0,1,0.0000000000
gpt5,2024,N,N2,2,9,0.2222222222
gpt5,2024,N,N3,0,3,0.0000000000
gpt5,2024,N,N4,0,2,0.0000000000
gpt5,2024,N,N5,2.5,5,0.5000000000
gpt5,2024,O,O1,10,15,0.6666666667
gpt5,2024,O,O2,0,1,0.0000000000
gpt5,2024,O,O3,0,1,0.0000000000
gpt5,2024,O,O4,0.5,1,0.5000000000
gpt5,2024,P,P1,0,6,0.0000000000
gpt5,2024,P,P2,5,6,0.8333333333
gpt5,2024,P,P3,5,6,0.8333333333
gpt5,2024,Q,Q1,15,15,1.0000000000
gpt5,2024,Q,Q2,2,3,0.6666666667
gpt5,2024,Q,Q3,2,4,0.5000000000
gpt5,2024,R,R1,5,5,1.0000000000
gpt5,2024,R,R2,3,3,1.0000000000
gpt5,2024,R,R3,9,23,0.3913043478
gpt5,2024,R,R4,3,3,1.0000000000
