LLM,Year,Question_ID,Task_ID,Score,Max Score,Normalized Score
o1,2025,A,A1,2,6,0.3333333333
o1,2025,B,B1,0,3,0.0000000000
o1,2025,B,B2,0,6,0.0000000000
o1,2025,B,B3,1,2,0.5000000000
o1,2025,C,C1,0,8,0.0000000000
o1,2025,C,C2,5,6,0.8333333333
o1,2025,C,C3,0,3,0.0000000000
o1,2025,D,D1,1,2,0.5000000000
o1,2025,D,D2,0,3,0.0000000000
o1,2025,D,D3,1,6,0.1666666667
o1,2025,E,E1,10,15,0.6666666667
o1,2025,E,E2,1,2,0.5000000000
o1,2025,E,E3,4,4,1.0000000000
o1,2025,F,F1,0,7,0.0000000000
o1,2025,F,F2,0,5,0.0000000000
o1,2025,F,F3,2,3,0.6666666667
o1,2025,G,G1,0,3,0.0000000000
o1,2025,G,G2,3,6,0.5000000000
o1,2025,G,G3,0,5,0.0000000000
o1,2025,H,H1,3,9,0.3333333333
o1,2025,H,H2,5,7,0.7142857143
o1,2025,H,H3,6,6,1.0000000000
o1,2025,I,I1,0,19,0.0000000000
o1,2025,I,I2,0,1,0.0000000000
o1,2025,I,I3,2,2,1.0000000000
o1,2025,J,J1,0,16,0.0000000000
o1,2025,J,J2,0,3,0.0000000000
o1,2025,J,J3,0,2,0.0000000000
o1,2025,J,J4,0,1,0.0000000000
o1,2025,K,K1,0.5,1,0.5000000000
o1,2025,K,K2,1,1,1.0000000000
o1,2025,K,K3,1,8,0.1250000000
o1,2025,K,K4,0,3,0.0000000000
o1,2025,L,L1,0,11,0.0000000000
o1,2025,L,L2,0,1,0.0000000000
o1,2025,M,M1,3,3,1.0000000000
o1,2025,M,M2,2,2,1.0000000000
o1,2025,M,M3,1.5,2,0.7500000000
o1,2025,N,N1,0,17,0.0000000000
o1,2025,N,N2,1,4,0.2500000000
o1,2025,O,O1,0,4,0.0000000000
o1,2025,O,O2,0,7,0.0000000000
o1,2025,O,O3,0,7,0.0000000000
o1,2025,O,O4,0,1,0.0000000000
o1,2025,O,O5,0,1,0.0000000000
o1,2025,O,O6,1,5,0.2000000000
o1,2025,O,O7,0,1,0.0000000000
o1,2025,P,P1,0,3,0.0000000000
o1,2025,P,P2,0.5,3,0.1666666667
