LLM,Year,Question_ID,Task_ID,Score,Max Score,Normalized Score
grok-4-fast-reasoning,2021,A,A1,0.0,2,0.0
grok-4-fast-reasoning,2021,A,A2,0.0,3,0.0
grok-4-fast-reasoning,2021,B,B1,0.0,8,0.0
grok-4-fast-reasoning,2021,B,B2,0.0,1,0.0
grok-4-fast-reasoning,2021,B,B3,0.0,1,0.0
grok-4-fast-reasoning,2021,B,B4,0.0,1,0.0
grok-4-fast-reasoning,2021,C,C1,6.0,15,0.4
grok-4-fast-reasoning,2021,C,C2,0.0,1,0.0
grok-4-fast-reasoning,2021,C,C3,0.5,3,0.166667
grok-4-fast-reasoning,2021,C,C4,0.0,3,0.0
grok-4-fast-reasoning,2021,D,D1,2.0,12,0.166667
grok-4-fast-reasoning,2021,D,D2,0.0,2,0.0
grok-4-fast-reasoning,2021,D,D3,1.0,1,1.0
grok-4-fast-reasoning,2021,D,D4,0.0,1,0.0
grok-4-fast-reasoning,2021,D,D6,0.0,1,0.0
grok-4-fast-reasoning,2021,E,E1,3.0,22,0.136364
grok-4-fast-reasoning,2021,E,E2,0.0,1,0.0
grok-4-fast-reasoning,2021,F,F1,0.0,1,0.0
grok-4-fast-reasoning,2021,F,F2,1.0,6,0.166667
grok-4-fast-reasoning,2021,G,G1,1.0,18,0.055556
grok-4-fast-reasoning,2021,G,G2,0.0,2,0.0
grok-4-fast-reasoning,2021,G,G3,0.0,3,0.0
grok-4-fast-reasoning,2021,H,H1,0.0,11,0.0
grok-4-fast-reasoning,2021,H,H2,0.0,3,0.0
grok-4-fast-reasoning,2021,H,H3,3.0,5,0.6
grok-4-fast-reasoning,2021,I,I1,11.0,12,0.916667
grok-4-fast-reasoning,2021,I,I2,3.0,3,1.0
grok-4-fast-reasoning,2021,I,I3,0.5,1,0.5
grok-4-fast-reasoning,2021,J,J1,2.5,7,0.357143
grok-4-fast-reasoning,2021,J,J2,0.0,6,0.0
grok-4-fast-reasoning,2021,J,J3,0.5,6,0.083333
grok-4-fast-reasoning,2021,J,J4,0.0,2,0.0
grok-4-fast-reasoning,2021,K,K1,0.0,26,0.0
grok-4-fast-reasoning,2021,K,K2,0.0,1,0.0
grok-4-fast-reasoning,2021,L,L1,1.0,12,0.083333
grok-4-fast-reasoning,2021,L,L2,1.5,5,0.3
grok-4-fast-reasoning,2021,L,L3,0.0,2,0.0
grok-4-fast-reasoning,2021,L,L4,0.0,1,0.0
grok-4-fast-reasoning,2021,M,M1,1.0,4,0.25
grok-4-fast-reasoning,2021,M,M2,0.0,4,0.0
grok-4-fast-reasoning,2021,M,M3,0.0,1,0.0
grok-4-fast-reasoning,2021,N,N1,0.0,17,0.0
grok-4-fast-reasoning,2021,O,O1,0.0,16,0.0
grok-4-fast-reasoning,2021,O,O2,3.0,4,0.75
grok-4-fast-reasoning,2021,O,O3,0.0,1,0.0
grok-4-fast-reasoning,2021,P,P1,1.0,6,0.166667
grok-4-fast-reasoning,2021,P,P2,1.0,4,0.25
grok-4-fast-reasoning,2021,Q,Q1,5.0,5,1.0
grok-4-fast-reasoning,2021,Q,Q2,0.0,1,0.0
grok-4-fast-reasoning,2021,Q,Q3,30.0,30,1.0
grok-4-fast-reasoning,2021,Q,Q4,0.0,1,0.0
grok-4-fast-reasoning,2021,R,R1,3.0,11,0.272727
grok-4-fast-reasoning,2021,R,R2,0.0,10,0.0
grok-4-fast-reasoning,2021,R,R3,0.0,2,0.0
grok-4-fast-reasoning,2021,R,R4,2.0,2,1.0
grok-4-fast-reasoning,2021,S,S1,0.0,3,0.0
grok-4-fast-reasoning,2021,S,S2,0.0,3,0.0
